Macro Precision,Macro Recall,Macro F1,Macro Accuracy,Macro Specificity,Micro Precision,Micro Recall,Micro F1,Micro Accuracy,Micro Specificity,Weighted Precision,Weighted Recall,Weighted F1,Weighted Accuracy,Weighted Specificity,TP,TN,FP,FN,Model
0.6387492778889393,0.6206976120833363,0.6295940776261675,0.6262295081967213,0.9620768259912746,0.6262295081967213,0.6262295081967213,0.6262295081967213,0.6262295081967213,0.9626229508196721,0.6277280770988131,0.6262295081967213,0.6269778971993163,0.6262295081967213,0.9566155777072997,[64 58 29 32 33 24 51 16 12 14 49],[529 524 509 502 509 517 530 582 582 575 513],[12 17 33 39 36 28 14  0  7 14 28],[ 5 11 39 37 32 41 15 12  9  7 20],RandomForestClassifier
0.6021434287397198,0.5712246445331775,0.5862766745995116,0.5737704918032787,0.9566793314733986,0.5737704918032787,0.5737704918032787,0.5737704918032787,0.5737704918032787,0.9573770491803278,0.582833046147861,0.5737704918032787,0.5782662642029517,0.5737704918032787,0.9497021544041055,[60 52 25 28 28 35 47  9 16 12 38],[526 525 492 501 522 513 514 581 580 580 506],[15 16 50 40 23 32 30  1  9  9 35],[ 9 17 43 41 37 30 19 19  5  9 31],DecisionTreeClassifier
,0.13286713286713286,,0.16229508196721312,0.9141740113064029,0.16229508196721312,0.16229508196721312,0.16229508196721312,0.16229508196721312,0.9162295081967213,,0.1622950819672131,,0.16229508196721312,0.8936190424032189,[ 2  0  0 64 24  6  0  0  0  0  3],[499 536 542 129 520 536 544 582 589 589 523],[ 42   5   0 412  25   9   0   0   0   0  18],[67 69 68  5 41 59 66 28 21 21 66],SVC
0.2556217149908609,0.2601824704010242,0.2578819295308303,0.25573770491803277,0.9243682233364758,0.25573770491803277,0.25573770491803277,0.25573770491803277,0.25573770491803277,0.9255737704918032,0.2556905582909478,0.25573770491803277,0.2557141294313561,0.25573770491803277,0.9123127517832023,[34 18  6 15 27 12 21  1 13  3  6],[443 484 497 460 502 519 522 577 568 575 499],[98 57 45 81 43 26 22  5 21 14 42],[35 51 62 54 38 53 45 27  8 18 63],KNeighborsClassifier
,0.14298165602513427,,0.1737704918032787,0.9153700172201418,0.1737704918032787,0.1737704918032787,0.1737704918032787,0.1737704918032787,0.9173770491803279,,0.1737704918032787,,0.1737704918032787,0.8952996976182818,[ 0  0  0 65  2 39  0  0  0  0  0],[541 465 542 169 539 501 544 582 589 589 535],[  0  76   0 372   6  44   0   0   0   0   6],[69 69 68  4 63 26 66 28 21 21 69],MLPClassifier
,0.2484604483325711,,0.25081967213114753,0.9239556246035704,0.25081967213114753,0.25081967213114753,0.25081967213114753,0.25081967213114753,0.9250819672131148,,0.25081967213114753,,0.25081967213114753,0.9126921985081268,[68  0  3  0 28 26  0 22  0  0  6],[268 541 539 541 504 507 544 527 589 589 494],[273   0   3   0  41  38   0  55   0   0  47],[ 1 69 65 69 37 39 66  6 21 21 63],AdaBoostClassifier
0.665359337214134,0.6415439477983074,0.6532346514023143,0.6377049180327868,0.9632009677360405,0.6377049180327868,0.6377049180327868,0.6377049180327868,0.6377049180327868,0.9637704918032787,0.649491531582508,0.637704918032787,0.6435442609161949,0.6377049180327868,0.9575057270636586,[63 59 31 33 29 23 54 19 14 14 50],[534 536 503 503 502 507 537 582 583 579 513],[ 7  5 39 38 43 38  7  0  6 10 28],[ 6 10 37 36 36 42 12  9  7  7 19],GradientBoostingClassifier
0.6537883422822186,0.6364640706886695,0.645009899636013,0.639344262295082,0.9633900495731812,0.639344262295082,0.639344262295082,0.639344262295082,0.639344262295082,0.9639344262295082,0.6389735181375242,0.6393442622950819,0.6391588364537597,0.639344262295082,0.9579462830099115,[66 60 27 31 36 25 51 17 11 16 50],[527 525 509 507 506 523 530 582 584 575 512],[14 16 33 34 39 22 14  0  5 14 29],[ 3  9 41 38 29 40 15 11 10  5 19],ExtraTreesClassifier
0.6180368627680966,0.6029856410349319,0.6104184856851033,0.601639344262295,0.9595422578910405,0.601639344262295,0.601639344262295,0.601639344262295,0.601639344262295,0.9601639344262295,0.6025879592048872,0.601639344262295,0.6021132781038342,0.601639344262295,0.9533254925391498,[62 60 30 25 34 25 50 17 13 13 38],[529 518 495 503 510 519 529 581 582 577 514],[12 23 47 38 35 26 15  1  7 12 27],[ 7  9 38 44 31 40 16 11  8  8 31],BaggingClassifier
